,nearest10hz,inletNumber,P,T,CH4,H2O,C2H6,R,C1C2,raw_CH4,raw_H2O,raw_C2H6,raw_R,raw_C1C2,batteryCharge,powerInput,current,SOC,Latitude,Longitude,Velocity,Bearing,wind_deviceID,windReference,avg_wind_x,avg_wind_y,avg_windSpeed,avg_windAngle,atmosphericPressure,airTemperature,jointime
8300,1612466638.0,0.0,239.97799999999998,15.4678,-0.901178,-865.378,20.6742,-0.0466688,-1.0,-0.902242,-876.818,19.8195,0.279352,-1.0,12304.0,14752.0,271.0,90.0,40.594571709457654,-105.14030933600245,0.0035498005078470284,0.6364068905693475,35.0,250.0,4.456586823660826,-3.6489461776416587,5.759858880576239,-0.6860853071795863,8360.0,275.65000000000003,1612466638.1
8301,1612466638.1,0.0,239.97799999999998,15.4678,-0.901178,-865.378,20.6742,-0.0466688,-1.0,-0.902242,-876.818,19.8195,0.279352,-1.0,12304.0,14752.0,271.0,90.0,40.594571709457654,-105.14030933878023,0.007109041087272549,5.76549367917705,35.0,250.0,4.456586823660826,-3.6489461776416587,5.759858880576239,-0.6860853071795863,8360.0,275.65000000000003,1612466638.1
8302,1612466638.2,0.0,239.97799999999998,15.4678,-0.901178,-865.378,20.6742,-0.0466688,-1.0,-0.902242,-876.818,19.8195,0.279352,-1.0,12304.0,14752.0,271.0,90.0,40.59457172056877,-105.1403093443358,0.0062878210228051665,6.095585102249776,35.0,250.0,4.697881760439577,-3.50278560076536,5.86,-0.6406853071795864,8360.0,275.65000000000003,1612466638.2
8303,1612466638.3,0.0,239.97799999999998,15.4678,-0.901178,-865.378,20.6742,-0.0466688,-1.0,-0.902242,-876.818,19.8195,0.279352,-1.0,12304.0,14752.0,271.0,90.0,40.59457172056877,-105.140309341558,0.004681595172427681,2.291301297980171,35.0,250.0,4.881735691089648,-3.4191017303293973,5.96,-0.6109853071795863,8360.0,275.65000000000003,1612466638.3
8304,1612466638.4,0.0,239.97799999999998,15.4678,-0.901178,-865.378,20.6742,-0.0466688,-1.0,-0.902242,-876.818,19.8195,0.279352,-1.0,12304.0,14752.0,271.0,90.0,40.59457171501322,-105.14030933600245,0.0011726893830583624,1.5707963267948966,35.0,250.0,4.827406907319487,-2.935752467624632,5.650000000000001,-0.5463853071795849,8360.0,275.65000000000003,1612466638.4
8305,1612466638.5,0.0,239.97799999999998,15.4678,-0.901178,-865.378,20.6742,-0.0466688,-1.0,-0.902242,-876.818,19.8195,0.279352,-1.0,12304.0,14752.0,271.0,90.0,40.59457172056877,-105.14030933878023,0.011368677624258323,5.968565235765406,35.0,250.0,4.819340966603346,-2.6502740702838112,5.5,-0.5027853071795862,8360.0,275.65000000000003,1612466638.5
8306,1612466638.6,0.0,239.97799999999998,15.4678,-0.901178,-865.378,20.6742,-0.0466688,-1.0,-0.902242,-876.818,19.8195,0.279352,-1.0,12304.0,14752.0,271.0,90.0,40.59457173445767,-105.1403093443358,0.004779230588990771,0.24790468179964134,35.0,250.0,4.7617354803407,-2.4169143996559983,5.339999999999999,-0.4696853071795861,8360.0,275.65000000000003,1612466638.6
8307,1612466638.7,0.0,239.97799999999998,15.4678,-0.901178,-865.378,20.6742,-0.0466688,-1.0,-0.902242,-876.818,19.8195,0.279352,-1.0,12304.0,14752.0,271.0,90.0,40.59457172890211,-105.14030933600245,0.0038783077995978095,2.4921432300020445,35.0,250.0,4.749103203583367,-2.4416426359551866,5.339999999999999,-0.4748853071795865,8360.0,275.65000000000003,1612466638.7
8308,1612466638.8,0.0,239.97299999999998,15.4729,-0.9023709999999999,-866.395,20.3947,-0.044986,-1.0,-0.9078579999999999,-861.289,19.9459,0.32955999999999996,-1.0,12305.0,14767.0,272.0,90.0,40.59457172890211,-105.14030933878023,0.0038783005433741117,5.633738089498946,35.0,250.0,4.775528775997862,-2.6261806696448677,5.45,-0.5027853071795862,8360.0,275.65000000000003,1612466638.8
8309,1612466638.9,0.0,239.97299999999998,15.4729,-0.9023709999999999,-866.395,20.3947,-0.044986,-1.0,-0.9078579999999999,-861.289,19.9459,0.32955999999999996,-1.0,12305.0,14767.0,272.0,90.0,40.59457173445767,-105.140309341558,0.004824506045365167,6.201271234320362,35.0,250.0,4.810912107667612,-2.7672413505686793,5.549999999999999,-0.5219853071795859,8360.0,275.65000000000003,1612466638.9
